nokia-conf | /configure/call-trace/location[location-type=*]/size-limit | union
nokia-conf | /configure/call-trace/trace-profile[name=*]/applications/connectivity-management | boolean
nokia-conf | /configure/call-trace/trace-profile[name=*]/applications/radius-auth | boolean
nokia-conf | /configure/call-trace/trace-profile[name=*]/applications/radius-acct | boolean
nokia-conf | /configure/call-trace/trace-profile[name=*]/applications/python | boolean
nokia-conf | /configure/call-trace/trace-profile[name=*]/applications/ludb | boolean
nokia-conf | /configure/call-trace/trace-profile[name=*]/applications/msap | boolean
nokia-conf | /configure/call-trace/trace-profile[name=*]/applications/ppp-event | boolean
nokia-conf | /configure/call-trace/trace-profile[name=*]/description | types-sros:description
nokia-conf | /configure/call-trace/trace-profile[name=*]/size-limit | uint32
nokia-conf | /configure/call-trace/trace-profile[name=*]/time-limit | types-sros:time-duration
nokia-conf | /configure/call-trace/trace-profile[name=*]/events | enumeration
nokia-conf | /configure/call-trace/max-files-number | uint32
nokia-conf | /configure/call-trace/primary-cf | enumeration
nokia-conf | /configure/call-trace/buffering | boolean
nokia-conf | /configure/cflowd/sample-profile[profile-id=*]/sample-rate | uint32
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/aggregation/as-matrix | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/aggregation/protocol-port | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/aggregation/source-prefix | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/aggregation/destination-prefix | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/aggregation/source-destination-prefix | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/aggregation/raw | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/family/ipv4 | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/family/ipv6 | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/family/mcast-ipv4 | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/family/mcast-ipv6 | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/family/l2-ip | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/family/mpls | boolean
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/ies-interface[service-name=*][interface-name=*]/service-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/ies-interface[service-name=*][interface-name=*]/interface-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/ies-group-interface[subscriber-interface-name=*][group-interface-name=*][service-name=*]/service-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/ies-group-interface[service-name=*][subscriber-interface-name=*][group-interface-name=*]/subscriber-interface-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/ies-group-interface[subscriber-interface-name=*][group-interface-name=*][service-name=*]/group-interface-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/vprn-interface[service-name=*][interface-name=*]/service-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/vprn-interface[service-name=*][interface-name=*]/interface-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/vprn-network-interface[service-name=*][network-interface-name=*]/service-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/vprn-network-interface[service-name=*][network-interface-name=*]/network-interface-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/vprn-group-interface[group-interface-name=*][service-name=*][subscriber-interface-name=*]/service-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/vprn-group-interface[subscriber-interface-name=*][group-interface-name=*][service-name=*]/subscriber-interface-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/service/vprn-group-interface[service-name=*][subscriber-interface-name=*][group-interface-name=*]/group-interface-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/router[router-name=*][interface-name=*]/router-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/export-filter/interface-list/router[router-name=*][interface-name=*]/interface-name | leafref
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/ip-address | types-sros:ip-unicast-address
nokia-conf | /configure/cflowd/collector[port=*][ip-address=*]/port | types-qos:tcp-udp-match-port
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/admin-state | types-sros:admin-state
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/autonomous-system-type | enumeration
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/description | types-sros:description
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/router-instance | string
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/template-set | enumeration
nokia-conf | /configure/cflowd/collector[ip-address=*][port=*]/version | types-cflowd:collector-version
nokia-conf | /configure/cflowd/admin-state | types-sros:admin-state
nokia-conf | /configure/cflowd/analyze-gre-payload | boolean
nokia-conf | /configure/cflowd/analyze-l2tp-traffic | boolean
nokia-conf | /configure/cflowd/analyze-v4overv6-traffic | boolean
nokia-conf | /configure/cflowd/cache-size | uint32
nokia-conf | /configure/cflowd/enhanced-distribution | boolean
nokia-conf | /configure/cflowd/export-mode | enumeration
nokia-conf | /configure/cflowd/inband-collector-export-only | boolean
nokia-conf | /configure/cflowd/overflow | uint32
nokia-conf | /configure/cflowd/template-retransmit | uint32
nokia-conf | /configure/cflowd/use-vrtr-if-index | boolean
nokia-conf | /configure/cflowd/active-flow-timeout | uint32
nokia-conf | /configure/cflowd/inactive-flow-timeout | uint32
nokia-conf | /configure/cflowd/active-timeout | uint32
nokia-conf | /configure/cflowd/inactive-timeout | uint32
nokia-conf | /configure/cflowd/rate | uint32
nokia-conf | /configure/connection-profile/vlan[connection-profile-id=*]/qtag-range[start=*]/end | int32
nokia-conf | /configure/connection-profile/vlan[connection-profile-id=*]/description | types-sros:description
nokia-conf | /configure/eth-cfm/domain[md-admin-name=*]/association[ma-admin-name=*]/ccm-hold-time/down | uint32
nokia-conf | /configure/eth-cfm/domain[md-admin-name=*]/association[ma-admin-name=*]/bridge-identifier[bridge-name=*]/vlan | int32
nokia-conf | /configure/eth-cfm/domain[md-admin-name=*]/association[ma-admin-name=*]/bridge-identifier[bridge-name=*]/mhf-creation | types-eth-cfm:tmnx-mhf-creation-type
nokia-conf | /configure/eth-cfm/domain[md-admin-name=*]/association[ma-admin-name=*]/bridge-identifier[bridge-name=*]/id-permission | types-eth-cfm:facility-id-permission-type
nokia-conf | /configure/eth-cfm/domain[md-admin-name=*]/association[ma-admin-name=*]/bridge-identifier[bridge-name=*]/mip-ltr-priority | types-eth-cfm:frame-priority
nokia-conf | /configure/eth-cfm/domain[md-admin-name=*]/association[ma-admin-name=*]/remote-mep[mep-id=*]/remote-mac | types-sros:mac-unicast-address-no-zero
nokia-conf | /configure/eth-cfm/domain[md-admin-name=*]/association[ma-admin-name=*]/icc-based | string
