nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/cooldown-sequence-active | boolean
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/peer-removal-pending | boolean
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/pending-messages-on-queue | uint32
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/active-portal/router-instance | types-sros:router-instance
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/active-portal/name | types-sros:named-item
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/state | enumeration
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/serial-number | uint32
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/request-id | uint32
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/remote-port | inet:port-number
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/local-address | types-sros:ipv4-unicast-address
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/user-name | types-sros:display-string
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/service | types-services:service-name
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/mac-address | yang:mac-address
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/is-triggered | boolean
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/track-srrp-instance | uint32
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/host[address=*]/is-mcs-backup | boolean
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/controlled-router | types-sros:router-instance
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/enabled-interfaces | uint32
nokia-state | /state/aaa/wpp/portal-group[group-name=*]/triggered-hosts | boolean
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[router-instance=*][session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*]/state/location | types-bfd:act-endpoint-type
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[router-instance=*][session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*]/state/oper-state | types-sros:oper-state
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[router-instance=*][session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*]/state/protocols | types-bfd:protocols
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*][router-instance=*]/state/session-state | types-bfd:session-state
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[remote-address=*][address=*][path-id=*][lsp=*][router-instance=*][session-fec-type=*]/state/down-reasons | bits
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[remote-address=*][address=*][path-id=*][lsp=*][router-instance=*][session-fec-type=*]/state/transmit-interval | uint32
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*][router-instance=*]/state/receive-interval | uint32
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[router-instance=*][session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*]/state/multiplier | uint32
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[path-id=*][lsp=*][router-instance=*][session-fec-type=*][remote-address=*][address=*]/local-parameters/discriminator | uint32
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[remote-address=*][address=*][path-id=*][lsp=*][router-instance=*][session-fec-type=*]/local-parameters/state | types-bfd:session-state
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[remote-address=*][address=*][path-id=*][lsp=*][router-instance=*][session-fec-type=*]/local-parameters/diag | enumeration
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[router-instance=*][session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*]/local-parameters/mode | enumeration
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[router-instance=*][session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*]/local-parameters/tx-interval | uint32
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[router-instance=*][session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*]/local-parameters/multiplier | uint32
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[path-id=*][lsp=*][router-instance=*][session-fec-type=*][remote-address=*][address=*]/local-parameters/rx-interval | uint32
nokia-state | /state/bfd/seamless-bfd/lsp-path-session[router-instance=*][session-fec-type=*][remote-address=*][address=*][path-id=*][lsp=*]/remote-parameters/discriminator | uint32
